#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTTITwarofthering.1;You Stand On The Brink;Sur le Pied de Guerre;;;;;;;;;;;;x
EVTOPTAwotr.67;A worthy host!;A la guerre!;;;;;;;;;;;;x
EVTTITwotr.68;Ride of the Rohirrim;La Chevauchée des Rohirrim;;;;;;;;;;;;x
EVTDESCwotr.68;Though the hour may be late, the Rohirrim are honoring the Oath of Eorl and will ride to Minas Tirith with all the forces they can spare!;Même si l'heure est tardive, les Rohirrim vont honorer le Serment d'Eorl, et chevauchent en ce moment vers Minas Tirith avec toutes les forces qu'ils ont pu rassembler !;;;;;;;;;;;;x
EVTOPTAwotr.68;Let's hope they make it in time.;Esperons qu'ils arriveront à temps…;;;;;;;;;;;;x
EVTTITwotr.71;A black mood takes you;Une humeur sombre vous prend…;;;;;;;;;;;;x
EVTDESCwotr.71;Boromir is gone, and the hosts of Mordor will only return with greater strength again and again. The Palantir has shown you the truth - There can be no final victory. Your mind begins to turn to madness and despair.;Boromir est mort, et les armées du Mordor reviendront de plus en plus puissantes, encore et encore. Le Palantir avait montré la vérité... Il ne peut y avoir de victoire au final. Votre esprit commence à pencher vers la folie et le desespoir.;;;;;;;;;;;;x
EVTOPTAwotr.71;No tomb for Denethor - I will burn!;Pas de tombeau pour Denethor… Je Brulerais!;;;;;;;;;;;;x
EVTOPTBwotr.71;I must live on for Gondor.;Je dois vivre pour le Gondor!;;;;;;;;;;;;x
EVTTITwotr.72;Thus passes Denethor;Ainsi périt Denethor…;;;;;;;;;;;;x
EVTDESCwotr.72;Denethor, Steward of Gondor, has committed suicide in despair at seeing the full extent of the enemy's power through the Palantir, and driven mad by the death of his favored son Boromir. What now, for Gondor?;Denethor, l'Intendant du Gondor, s'est suicidé par desespoir après avoir vu toutes les forces de l'ennemi dans le Palantir, et après être devenu fou de chagrin suite à la mort de son fils favori Boromir. Qu'arrivera-til au Gondor?;;;;;;;;;;;;x
EVTOPTAwotr.72;OK;OK;;;;;;;;;;;;x
EVTTITwotr.73;Sauron's forces are defeated!;Les forces de Sauron ont été battues!;;;;;;;;;;;;x
EVTDESCwotr.73;Through the valor of your armies, and the timely aid of the Heir of Isildur, Gondor has repulsed the great attack of the enemy! Many in Gondor would now like to see the Return of the King - as Steward, what do you say?;Grâce à la valeur de vos armées, et à l'aide inattendue de l'Héritier d'Isildur, le Gondor a repoussé la grande attaque de l'Ennemi! Nombreaux au Gondor sont ceux qui souhaiteraient voir le retour du Roi... En tant qu'Intendant, qu'en dites vous?;;;;;;;;;;;;x
EVTOPTAwotr.73;Prepare the city for his coming! Sound the trumpets!;Préparez la ville a sa venue! Sonnez les trompettes!;;;;;;;;;;;;x
EVTOPTBwotr.73;I can't stop him, but in due time...;Je ne peux l'arrêter, mais en temps voulu…;;;;;;;;;;;;x
EVTTITwotr.74;The Return of the King;Le retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.74;You have proven yourself a worthy Heir to the throne of Gondor. Silver trumpets call you to the City of Kings, and the people rejoice. They have hope now, that Sauron can be defeated.;Vous avez prouvé que vous étiez digne d'hériter du trône du Gondor. Des trompettes d'argent vous appellent à entrer dans la Cité des Rois, et le peuple se réjouit. Ils ont de l'espoir maintenant, celui que Sauron puisse être battu.;;;;;;;;;;;;x
EVTOPTAwotr.74;The Dúnedain shall rise again.;Les Dúnedains vont s'élever de nouveau!;;;;;;;;;;;;x
EVTTITwotr.75;Your Ancient Claims are Recognized;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.75;As the heir of Elendil, you are not only King of Gondor, but also of Arnor. In time, the northern realm shall rise again, and a Re-United Kingdom of the Dúnedain shall restore the glories of old.;Comme héritier d'Elendil, vous n'êtes pas seulement Roi du Gondor, mais aussi d'Arnor. Le Royaume du Nord va être rebati, et un Royaume Unifié des Dúnedain devrait restaurer la Gloire passée.;;;;;;;;;;;;x
EVTOPTAwotr.75;Indeed it shall!;Cela sera!;;;;;;;;;;;;x
EVTTITwotr.76;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.76;The Heir of Isildur has returned to the throne of Gondor, and its people rejoice. A Re-United Kingdom of Arnor and Gondor is proclaimed, and Sauron's great assault has been beaten back.;L'Héritier d'Isildur a pris le trône du Gondor, et son peuple se réjouit. Un Royaume Unifié de Gondor et d'Arnor a été proclamé, et le grand assaut de Sauron a été repoussé.;;;;;;;;;;;;x
EVTOPTAwotr.76;The Dúnedain shall arise again!;Les Dúnedains vont s'élever de nouveau!;;;;;;;;;;;;x
EVTOPTBwotr.76;A curse upon him!;Maudit soit-il!;;;;;;;;;;;;x
EVTOPTCwotr.76;OK;OK;;;;;;;;;;;;x
EVTTITwotr.77;Defeat;Défaite!;;;;;;;;;;;;x
EVTDESCwotr.77;The doom of men is at hand! Even with the heir of Elendil wielding Anduril, the enemy streams into Eastern Gondor and your people flee. What now of the return of the King?;La destruction des Hommes est à notre porte! Même avec l'héritier d'Elendil brandissant Anduril, l'Ennemi occupe l'Est du Gondor, et notre peuple s'enfuit. Comment penser au retour d'un Roi maintenant?;;;;;;;;;;;;x
EVTOPTAwotr.77;He has failed, and is no King of mine.;Il a échoué, et n'est pas mon Roi.;;;;;;;;;;;;x
EVTOPTBwotr.77;Our people need hope. They need a King.;Notre peuple a besoin d'espoir. Il faut un Roi!;;;;;;;;;;;;x
EVTTITwotr.78;Failure and Defeat;Echec et défaite…;;;;;;;;;;;;x
EVTDESCwotr.78;Despite your best efforts, Minas Tirith fell to the enemy. The steward rejects your claim, and you must now return north and prepare for the coming darkness.;Malgré tout vos efforts, Minas Tirith est tombée entre les mains de l'Ennemi. L'Intendant du Gondor rejete votre revendication. Vous devriez retourner au Nord et vous préparer aux Ténèbres qui arrivent…;;;;;;;;;;;;x
EVTOPTAwotr.78;There never was much hope...;Il n'y aura plus d'espoir…;;;;;;;;;;;;x
EVTTITwotr.79;Failure and Defeat;Echec et défaite…;;;;;;;;;;;;x
EVTDESCwotr.79;Despite your best efforts, Minas Tirith fell to the enemy. The people still accept you as King, however, but your task now is almost impossible...;Malgré tout vos efforts, Minas Tirith est tombée entre les mains de l'Ennemi. Le Peuple veut vous voir devenir Roi, mais votre tâche deviendra presque impossible…;;;;;;;;;;;;x
EVTOPTAwotr.79;But there is still hope!;Il y a encore de l'espoir!;;;;;;;;;;;;x
EVTTITwotr.80;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.80;Though defeated, you are still the rightful King of both Arnor and Gondor. You take up your crown, and look to the battles ahead.;Même battu, vous êtes le véritable Roi d'Arnor et de Gondor. Vous prenez votre couronne, et vous préparez aux batailles à venir…;;;;;;;;;;;;x
EVTOPTAwotr.80;At least I got my crown...;Au moins j'ai ma couronne…;;;;;;;;;;;;x
EVTTITwotr.81;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.81;The King has returned, but surely not all true men of Gondor welcome this last heir of a ragged northern line, long bereft of Lordship. In time, I shall gather support and oust this usurper!;Le Roi est revenu sur son trône, mais tous les vrais Hommes du Gondor ne saluent pas l'arrivée du dernier héritier d'une lignée d'hommes en haillons du Nord, privée depuis longtemps de toute seigneurie. Le Moment venu, je leur apporterais mon soutien et nous chasserons cet usurpateur...;;;;;;;;;;;;x
EVTOPTAwotr.81;The Line of the Stewards deserve that crown...;La Maison des Intendants mérite cette couronne…;;;;;;;;;;;;x
EVTTITwotr.82;Boromir's Judgement;Le Jugement de Boromir;;;;;;;;;;;;x
EVTDESCwotr.82;Boromir took the ring from Frodo. We cannot wield it, but it must be kept safe. Boromir will be locked away, deep beneath the city, where he will suffer his ill fate.;Boromir a pris l'Anneau à Frodon. Nous ne pouvons lui pardonner, mais sa vie doit être épargnée. Boromir sera arrêté, amené jusqu'à la Cité, où il devra accepter son destin.;;;;;;;;;;;;x
EVTOPTAwotr.82;Send the guards for him!;Envoyez des Gardes après lui!;;;;;;;;;;;;x
EVTTITwotr.83;King's Judgement;Le Jugement du Roi;;;;;;;;;;;;x
EVTDESCwotr.83;Tower Guards sent by Aragorn come to arrest you. You are charged with high treason, and theft. They want the ring! And after all I did to defend our people?!;Des Guardes de la Citadelle ont été envoyés par Aragorn pour vous arrêter. Vous êtes accusé de Haute Trahison, et Vol. Ils veulent l'Anneau! Après tout ce que j'ai fait pour défendre mon peuple?;;;;;;;;;;;;x
EVTOPTAwotr.83;I will go with them...;Je les suivrais…;;;;;;;;;;;;x
EVTOPTBwotr.83;Weak fools! I will flee to Umbar!;Pauvre fous! J'embarque pour Umbar!;;;;;;;;;;;;x
EVTTITwotr.84;Boromir's Judgement;Le Jugement de Boromir;;;;;;;;;;;;x
EVTDESCwotr.84;Boromir submitted, and is now safely locked in your dungeon.;Boromir s'est rendu, et est maintenant emprisonné dans des quartiers sous surveillance à Minas Tirith.;;;;;;;;;;;;x
EVTOPTAwotr.84;Good.;Bien.;;;;;;;;;;;;x
EVTTITwotr.85;Escape;La Fuite;;;;;;;;;;;;x
EVTDESCwotr.85;You put on the ring, escape the guards, and flee the city. Your only choice now is to run to Umbar, and appeal to the Corsairs for sanctuary...;Vous mettez l'Anneau à votre doigt, vous échappez aux Gardes, and fuyez la Cité. Votre seul choix maintenant est de fuir vers Umbar, et de demander asile aux Corsaires... ;;;;;;;;;;;;x
EVTOPTAwotr.85;I will return as a conqueror!;Je reviendrais en Conquérant!;;;;;;;;;;;;x
EVTTITwotr.86;Escape;La Fuite;;;;;;;;;;;;x
EVTDESCwotr.86;You put on the ring, but the guards seize you before you manage to leave the city. You have no escape now.;Vous mettez l'Anneau à votre doigt, mais les Gardes vous repèrent avant que vous ne réussissiez à quitter la Cité. Vous n'avez plus de possibilité de vous échapper maintenant…;;;;;;;;;;;;x
EVTOPTAwotr.86;Curses!;Malédiction!;;;;;;;;;;;;x
EVTTITwotr.87;A Gondorian Prince appears;Un Prince du Gondor arrive…;;;;;;;;;;;;x
EVTDESCwotr.87;Boromir of Gondor has fled his lands and is branded a traitor and criminal. He seeks sanctuary. He could be a useful tool... do you give it to him?;Boromir du Gondor a fui ses terres et est recherché comme un traître et un criminel. Il demande asile. Il peut nous être utile... Allons-nous lui accorder?;;;;;;;;;;;;x
EVTOPTAwotr.87;Welcome, my dear!;Bienvenue en Umbar!;;;;;;;;;;;;x
EVTTITwotr.88;You arrive in Umbar;Vous êtes en Umbar!;;;;;;;;;;;;x
EVTDESCwotr.88;The Corsairs welcome you, and are eager to know all that you do of Gondor's defenses. It's strengths, weaknesses... ;Les Corsaires vous accueillent, et sont pressés de savoir tout ce que vous avez fait pour assurer les défenses du Gondor. Quelles sont ses forces, ses faiblesses…;;;;;;;;;;;;x
EVTOPTAwotr.88;I'll find a way to seize power here.;Je trouverais un moyen de prendre le pouvoir ici…;;;;;;;;;;;;x
EVTTITwotr.89;Boromir escaped!;Boromir s'est enfui!;;;;;;;;;;;;x
EVTDESCwotr.89;Using the ring, Boromir evaded your guards and has seemingly escaped the city! Some folk by the harbor said they saw an empty boat suddenly untie itself and sail south...;Utilisant l'Anneau, Boromir échappe à vos gardes et il semble qu'il se soit enfuit de la cité! Certaines personnes au port disent qu'ils ont vus un navire vide briser soudainement ses amarres et naviguer vers le Sud…;;;;;;;;;;;;x
EVTOPTAwotr.89;You can run, Boromir... but I'll find you!;Vous pouvez courir Boromir, mais je vous trouverais!;;;;;;;;;;;;x
EVTTITwotr.90;The Great War;la Grande Guerre;;;;;;;;;;;;x
EVTDESCwotr.90;The great battle of our time has come, but you have not been idle. Forces have been sent to the aid of Minas Tirith from your vassals, and they are now awaiting your command.;La Grande Bataille de notre Temps est venue, et vous n'avez pas perdu de temps. Des forces ont été envoyées pour secourir Minas Tirith depuis les quatre coins du Royaume, et attendent votre commandement.;;;;;;;;;;;;x
EVTOPTAwotr.90;So few have come...;Si peu sont venus…;;;;;;;;;;;;x
EVTTITwotr.91;The Return of the King;Le Retour du Roi;;;;;;;;;;;;x
EVTDESCwotr.91;If the antic crown of Gondor was found on the tomb of Eärnil II in the houses of the dead, Elrond kept in Rivendell the Sceptre of Annuminas since the Split of Arnor. He come to you now, and give you the symbol of the Kings of the North.;Si l'antique couronne des Rois du Gondor reposait sur la tombe d'Eärnil II à Minas Tirith, le Sceptre d'Annuminas était gardé depuis la division d'Arnor par Elrond, à Fondcombe. Il se présente maintenant devant vous, vous offrant le symbole de la Couronne du Nord.;;;;;;;;;;;;x
EVTOPTAwotr.91;I'm the King of Arnor!;Je suis le Roi d'Arnor!;;;;;;;;;;;;x
EVTTITgaladrielring.0;High Queen;La Haute Reine;;;;;;;;;;;;x
EVTDESCgaladrielring.0;With the ring, you are the most powerful elven ruler since the days of Feanor, Fingolfin, and Gil-Galad. You have surely earned the right to call yourself High Queen of the Elves!;Avec l'Anneau, vous devenez le plus puissant elfe depuis les jours de Fëanor, Fingolfin et Gil-Galad. Vous avez certainement le droit de vous faire appeler maintenant la Haute-Reine de tout les Elfes !;;;;;;;;;;;;x
EVTOPTAgaladrielring.0;Send out riders. The elves must unite again.;Envoyez des Messagers. Les elfes doivent s'unir.;;;;;;;;;;;;x
EVTTITgaladrielring.1;Expand your Realm;Etendez votre Domaine…;;;;;;;;;;;;x
EVTDESCgaladrielring.1;The Orcs of Moria have long been a threat, but now that you have the ring it is time to end it once and for all.  You should prepare your armies. This is just the beginning!;Les Orques de la Moria ont été longtemps une menace, mais maintenant que vous avez l'Anneau, il est temps de mettre un terme à celle-ci. Vous devriez préparer vos armées… C'est juste le commencement.;;;;;;;;;;;;x
EVTOPTAgaladrielring.1;The Age of the Orc is ending.;L'Âge des Orques est terminé !;;;;;;;;;;;;x
EVTTITgaladrielring.2;Expand your Realm;Etendez votre Domaine…;;;;;;;;;;;;x
EVTDESCgaladrielring.2;The men of Anduin Vale are under threat from the orcs of Gundabad. You should send your armies there to protect them, and organize their men for the future war against Sauron.;Les Hommes du Val d'Anduin sont sous la menace des Orques de Gundabad. Vous devriez envoyer vos armées pour les protéger, et organiser ces Hommes pour la guerre à venir contre Sauron.;;;;;;;;;;;;x
EVTOPTAgaladrielring.2;Let's hope they do not resist us too fiercely.;Esperons qu'ils ne résisteront pas trop…;;;;;;;;;;;;x
EVTTITgaladrielring.3;A new Ring-Lord;Un Nouveau Seigneur de l'Anneau;;;;;;;;;;;;x
EVTDESCgaladrielring.3;Rumors reach you that Galadriel has taken up the ring, and is preparing to move against the realm of Anduin vale, supposedly to protect them. Yet if her elven armies are opposed, will she use force to gain their allegiance?;Des Rumeurs courent selon lesquelles Galadriel aurait pris l'Anneau et se préparerait à faire mouvement contre les Terres du Val d'Anduin, soit-disant pour les protéger. Pourtant, si les armées elfes trouvent une opposition, utilisera-t-elle la Force pour s'emparer des terres?;;;;;;;;;;;;x
EVTOPTAgaladrielring.3;She better not use force!;Elle ne devrait pas utiliser la force…;;;;;;;;;;;;x
EVTOPTBgaladrielring.3;Galadriel has the ring? Interesting...;Galadriel a l'Anneau? Interessant…;;;;;;;;;;;;x
EVTOPTCgaladrielring.3;Cursed elves!;Maudits elfes !;;;;;;;;;;;;x
EVTTITgaladrielring.4;Expand your Realm;Expansion de votre Royaume;;;;;;;;;;;;x
EVTDESCgaladrielring.4;The woodsmen are under threat from the orcs of Dol Guldur. You should send your armies there to protect them, and organize their men for the future war against Sauron.;Les Bucherons de la Forêt Noire sont sous la menace des Orques de Dol Guldur. Vous devriez envoyer vos armées pour les protéger, et préparer ces hommes à la future guerre contre Sauron.;;;;;;;;;;;;x
EVTOPTAgaladrielring.4;Let's hope they do not resist us too fiercely.;Esperons qu'ils ne résisteront pas trop…;;;;;;;;;;;;x
EVTTITgaladrielring.5;A new Ring-Lord;Un Nouveau Seigneur de l'Anneau;;;;;;;;;;;;x
EVTDESCgaladrielring.5;Emissaries from Galadriel reach you. She has taken the title High Queen of the Elves, and asks for your allegiance. Together, you will set things right, and destroy Sauron and all evil creatures!;Des Emissaires de Galadriel sont venus à vous. Elle a pris le titre de Haute Reine des Elfes, et demande votre allégeance. Ensemble, vous remettrez tout en Ordre, détruirez Sauron et toutes les créatures maléfiques.;;;;;;;;;;;;x
EVTOPTAgaladrielring.5;Yes, we need to unite!;Oui, nous devons nous unir!;;;;;;;;;;;;x
EVTOPTBgaladrielring.5;No! The ring will corrupt her.;Non, l'Anneau va la corrompre!;;;;;;;;;;;;x
EVTOPTCgaladrielring.5;No! The ring will corrupt her.;Non, l'Anneau va la corrompre!;;;;;;;;;;;;x
EVTTITgaladrielring.6;An Elf Lord Joins You;Un Seigneur Elfe vous rejoint;;;;;;;;;;;;x
EVTDESCgaladrielring.6;We shall join you, Lady Galadriel, and together we shall secure a bright future for elvendom in Middle Earth forever. No other race shall oust us, not orc, nor man, nor Sauron himself!;Nous allons vous rejoindre, Dame Galadriel, et sensemble nous devrions obtenir un futur brillant pour les royaumes elfiques de Terre du Milieu. Aucune autre race ne pourra nous chasser, ni les orques, ni les hommes, ni Sauron lui-même!;;;;;;;;;;;;x
EVTOPTAgaladrielring.6;Excellent.;Excellent.;;;;;;;;;;;;x
EVTTITgaladrielring.7;An Elf Lord Refuses;Un Seigneur Elfe refuse !;;;;;;;;;;;;x
EVTDESCgaladrielring.7;Lady Galadriel, your will has turned to madness. The ring is all-together evil, and shall corrupt you. I will follow you no more than I would follow Sauron himself!;Dame Galadriel, votre volonté tournera à la folie. L'Anneau est entièrement mauvais, et va vous corrompre. Je ne vous suivrais pas plus que je ne suivrais Sauron lui-même !;;;;;;;;;;;;x
EVTOPTAgaladrielring.7;Damn him!;Maudit soit-il !;;;;;;;;;;;;x
EVTTITgaladrielring.8;The new Ring-Lord;Le Nouveau Seigneur de l'Anneau;;;;;;;;;;;;x
EVTDESCgaladrielring.8;Rumors reach you that Galadriel is now preparing to move against the woodsmen of Mirkwood, supposedly to protect them from Dol Guldur. Where will her conquests end?;Des Rumeurs courent selon lesquelles Galadriel fait mouvement contre les Bucherons de la Forêt Noire, soit-disant pour les protéger des Orques de Dol Guldur. Où ses conquêtes s'arrêteront-elles?;;;;;;;;;;;;x
EVTOPTAgaladrielring.8;Let's hope she does not turn to darkness.;Esperons qu'elle ne bascule pas dans les ténèbres…;;;;;;;;;;;;x
EVTOPTBgaladrielring.8;She better stay away from my borders!;Elle ferait mieux de rester loin de mes frontières !;;;;;;;;;;;;x
EVTOPTCgaladrielring.8;Cursed elves!;Maudits Elfes !;;;;;;;;;;;;x
EVTTITgaladrielring.9;Expand your Realm;@FIXME@ Expand your Realm;;;;;;;;;;;;x
EVTDESCgaladrielring.9;The wood elves of Mirkwood must be added to your growing realm before they are overwhelmed by their enemies. You should send your armies there to protect them, and organize their levies for the future war against Sauron.;@FIXME@ The wood elves of Mirkwood must be added to your growing realm before they are overwhelmed by their enemies. You should send your armies there to protect them, and organize their levies for the future war against Sauron.;;;;;;;;;;;;x
EVTOPTAgaladrielring.9;Expand your Realm;@FIXME@ Expand your Realm;;;;;;;;;;;;x
EVTTITwotr.92;Aragorn or Elessar?;Aragorn ou Elessar?;;;;;;;;;;;;x
EVTDESCwotr.92;You're now the King of Gondor and Arnor, as foreseen. You can now change your regnal name to Elessar, but fo you want it?;Vous êtes maintenant le Roi d'Arnor et du Gondor, comme votre destinée le prévoyait. Vous pouvez prendre comme nom de règne Elessar, mais le voulez-vous vraiment?;;;;;;;;;;;;x
EVTOPTAwotr.92;I'm the King Elessar !;Je suis le Roi Elessar !;;;;;;;;;;;;x
EVTOPTBwotr.92;My name is Aragorn !;Mon nom est Aragorn !;;;;;;;;;;;;x
EVTTITwotr.93;A new Royal House?;Une Nouvelle Dynastie Royale?;;;;;;;;;;;;x
EVTDESCwotr.93;You're now the King of Gondor and Arnor, as foreseen. You can now create the Royal House of Telcontar, instead of being from the house Isildurionath. What will you choose?;Vous êtes maintenant le Roi d'Arnor et du Gondor, comme votre destinée le prévoyait. Vous pouvez maintenant créer la Dynastie Royale de Telcontar, mais le voulez-vous vraiment?;;;;;;;;;;;;x
EVTOPTAwotr.93;A new House for a new Age !;Une Nouvelle Dynastie pour un Nouvel Âge!;;;;;;;;;;;;x
EVTOPTBwotr.93;I remain a member of the house Isildurionath;Je reste un membre de la Famille Isildurionath.;;;;;;;;;;;;x
EVTTITwotr.94;An Elvish wife;Une Epouse Elfe...;;;;;;;;;;;;x
EVTDESCwotr.94;There are now many years, you promised your heart to Arwen, daughter of Elrond. You are the King of Gondor and Arnor, the most powerful Man of Middle-earth, and it's time now to marry the one you love.;Il y a maintenant de nombreuses années, vous avez promis votre coeur à Arwen, la fille d'Elrond. Vous êtes le Roi du Gondor et d'Arnor, le plus puissant des Hommes de la Terre du Milieu, et il est temps d'épouser celle que vous aimez maintenant.;;;;;;;;;;;;x
EVTOPTAwotr.94;I'll ask Elrond !;Je demande sa main à Elrond.;;;;;;;;;;;;x
EVTOPTBwotr.94;She's was just a dream…;Elle n'était qu'un rêve…;;;;;;;;;;;;x
EVTTITwotr.95;A Man for your daughter?;Un Homme pour votre fille?;;;;;;;;;;;;x
EVTDESCwotr.95;There are now many years, Arwen and Aragorn are promised to each other. Aragorn is now the most powerful Man of Middle-earth, and ask your permission to marry your daughter. What will you answer him?;Il y a maintenant de nombreuses années, Arwen et Aragorn se sont promis l'un à l'autre. Aragorn est maintenant le plus puissant Homme de la Terre du Milieu, et il vous demande l'autorisation d'épouser votre fille. Qu'allez-vous lui répondre?;;;;;;;;;;;;x
EVTOPTAwotr.95;I can't oppose to their love ...;Je ne peux m'opposer à leur amour…;;;;;;;;;;;;x
EVTOPTBwotr.95;Her place is at West.;Sa place est à l'Ouest.;;;;;;;;;;;;x
EVTTITwotr.96;A Royal Wedding !;Un Mariage Royal !;;;;;;;;;;;;x
EVTDESCwotr.96;Elrond gave you the hand of his daughter, and all your kingdom is celebrating! You begin your reign with a joyful event, and offer to the men a revival of the ancient blood of Numenor by this marriage with an elf.;Elrond vous a accordé la main de sa fille, et tout votre Royaume est en fête ! Vous commencez votre règne par un événement joyeux, et offrez aux Hommes un renouveau de l'ancien sang de Numenor par un mariage avec une elfe. ;;;;;;;;;;;;x
EVTOPTAwotr.96;Arwen is now my Spouse !;Arwen est maintenant mon épouse !;;;;;;;;;;;;x
EVTOPTBwotr.96;No… I don't want to marry her finally.;Non… Je ne veux plus l'épouser finalement…;;;;;;;;;;;;x
EVTTITwotr.97;Arwen is pregnant !;Arwen est enceinte !;;;;;;;;;;;;x
EVTDESCwotr.97;Praise the Valar, your wife is pregnant! This child will seal the alliance of the Three Houses of the Edain and the House of Finarfin and will be the heir to the throne of Gondor and Arnor. By him, the ancient blood of Numenor will also be renewed!;Louez les Valar, votre femme est enceinte! Cet enfant scellera l'alliance des Trois Maisons des Edain et de la Maison de Finarfin, et sera l'héritier du Trône du Gondor et d'Arnor. Par lui, l'antique sang de Numenor sera renouvelé également !;;;;;;;;;;;;x
EVTOPTAwotr.97;I hope it'll be a boy !;J'espère que ce sera un garçon !;;;;;;;;;;;;x
EVTTITwotr.98;Birth of your Heir!;Naissance de votre Héritier !;;;;;;;;;;;;x
EVTDESCwotr.98;Arwen has given birth, and your first child is a boy! Your entire Kingdom celebrates the event, and gifts come from all the Free Peoples.;Arwen a accouchée, et votre premier enfant est un garçon! Tout le Royaume fête l'événement, et des cadeaux arrivent en provenance de tous les Peuples Libres. ;;;;;;;;;;;;x
EVTOPTAwotr.98;His name will be Eldarion.;Son nom sera Eldarion.;;;;;;;;;;;;x
EVTTITwotr.99;Arwen is pregnant !;Arwen est enceinte !;;;;;;;;;;;;x
EVTDESCwotr.99;Praise the Valar, your wife is pregnant! This second child ensure the survival of your new dynasty.;Louez les Valar, votre femme est enceinte! Ce deuxième enfant assurera la survie de votre nouvelle dynastie. ;;;;;;;;;;;;x
EVTOPTAwotr.99;I hope it'll be a girl!;J'espère que ce sera une fille !;;;;;;;;;;;;x
EVTTITwotr.100;Birth of your Child !;Naissance de votre Enfant !;;;;;;;;;;;;x
EVTDESCwotr.100;Arwen has given birth, and your second child is a girl! Your entire Kingdom celebrates the event, and gifts come from all the Free Peoples.;Arwen a accouchée, et votre deuxième enfant est une fille ! Tout le Royaume fête l'événement, et des cadeaux arrivent en provenance de tous les Peuples Libres. ;;;;;;;;;;;;x
EVTOPTAwotr.100;Her name will be Lúthien.;Son nom sera Lúthien.;;;;;;;;;;;;x
EVTTITwotr.101;Arwen is pregnant !;Arwen est enceinte !;;;;;;;;;;;;x
EVTDESCwotr.101;Praise the Valar, your wife is pregnant! This third child ensure the survival of your new dynasty.;Louez les Valar, votre femme est enceinte! Ce troisième enfant assurera la survie de votre nouvelle dynastie. ;;;;;;;;;;;;x
EVTOPTAwotr.101;A new child? Praise the Valar!;Un Nouvel Enfant? Loués soient les Valar!;;;;;;;;;;;;x
EVTTITwotr.102;Birth of your Child !;Naissance de votre Enfant !;;;;;;;;;;;;x
EVTDESCwotr.102;Arwen has given birth, and your third child is a girl! Your entire Kingdom celebrates the event, and gifts come from all the Free Peoples.;Arwen a accouchée, et votre troisième enfant est une fille ! Tout le Royaume fête l'événement, et des cadeaux arrivent en provenance de tous les Peuples Libres. ;;;;;;;;;;;;x
EVTOPTAwotr.102;Her name will be Indis.;Son nom sera Indis.;;;;;;;;;;;;x
EVTTITwotr.103;Arwen is pregnant !;Arwen est enceinte !;;;;;;;;;;;;x
EVTDESCwotr.103;Praise the Valar, your wife is pregnant! This fourth child ensure the survival of your new dynasty.;Louez les Valar, votre femme est enceinte! Ce quatrième enfant assurera la survie de votre nouvelle dynastie. ;;;;;;;;;;;;x
EVTOPTAwotr.103;A new child? Praise the Valar!;Un Nouvel Enfant? Loués soient les Valar!;;;;;;;;;;;;x
EVTTITwotr.104;Birth of your Child !;Naissance de votre Enfant !;;;;;;;;;;;;x
EVTDESCwotr.104;Arwen has given birth, and your fourth child is a girl! Your entire Kingdom celebrates the event, and gifts come from all the Free Peoples.;Arwen a accouchée, et votre quatrième enfant est une fille ! Tout le Royaume fête l'événement, et des cadeaux arrivent en provenance de tous les Peuples Libres. ;;;;;;;;;;;;x
EVTOPTAwotr.104;Her name will be Altáriel.;Son nom sera Altáriel.;;;;;;;;;;;;x
EVTvalinor.1;A Last Journey…;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.1;Sauron's power was destroyed, and the time of the Elves is ending. You're tired of Middle Earth, and you're aware that the Last Ship prepares to leave the Grey Havens for Aman. Will you join some of the most powerful beings in their last trip to the West?;Le pouvoir de Sauron a été détruit, et le Temps des Elfes prend fin. Vous êtes las de la Terre du milieu, et vous êtes informé qu'un dernier bateau se prépare à quitter les Havres Gris. Allez-vous joindre certains des êtres les plus puissants dans leur dernier voyage, vers l'Ouest?;;;;;;;;;;;;x
EVTOPTAvalinor.1;It's my fate…;C'est mon destin…;;;;;;;;;;;;x
EVTOPTBvalinor.1;I'll die in Middle-Earth;Je mourrais en Terre du Milieu.;;;;;;;;;;;;x
EVTvalinor.2;A Last Journey…;Un dernier Voyage…;;;;;;;;;;;;x
EVTDESCvalinor.2;You took the road towards the Grey Havens. Slowly, but surely, you now know that this trip will be your last. Soon you reach the western border of the Shire, and you can see the first silver flashes of the Sea ...;Vous avez pris la route, en direction des Havres Gris. Lentement, mais surement, vous savez maintenant que ce voyage sera votre dernier. Bientôt, vous arrivez à la frontière occidentale de la Comté, et vous voyez au loin les premiers éclats argentés de la Mer....;;;;;;;;;;;;x
EVTOPTAvalinor.2;I'll be soon at the Grey Havens..;Je serais bientôt aux Havres Gris…;;;;;;;;;;;;x
EVTvalinor.3;A Last Journey...;Un dernier Voyage...;;;;;;;;;;;;x
