#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC1032;People are unlovable.;L'humanité n'a rien de touchant.;Man kann die Menschen einfach nicht lieben.;;La humanidad es difícil de amar.;;;;;;;;;x
EVTTOOLTIP69013;[Root.GetTitledFirstName] tries to seduce [This.GetTitledFirstName];[Root.GetTitledFirstName] tente de séduire [This.GetTitledFirstName].;[Root.GetTitledFirstName] versucht, [This.GetTitledFirstName] zu verführen;;[Root.GetTitledFirstName] intenta seducir a [This.GetTitledFirstName];;;;;;;;;x
EVTDESC69012;[From.GetTitledFirstName] asked me what [From.GetHerHis] silence was worth to me, and when I asked [From.GetHerHim] what in Arda [From.GetSheHe] was talking about, [From.GetTitledFirstName] told me [From.GetSheHe] knows about my incestuous affair with my sister. If I did not pay [From.GetHerHim], there would be nothing stopping [From.GetHerHim] from telling everybody about our forbidden love.;[From.GetTitledFirstName] me demande à combien j'évalue son silence et lorsque je lui demande de quoi [From.GetSheHe] parle, [From.GetSheHe] me répond qu'[From.GetSheHe] est au courant de ma relation incestueuse avec ma sœur. Si je ne l'avais pas payé(e), rien ne l'aurait empêché(e) de révéler notre amour interdit au grand jour.;[From.GetTitledFirstName] fragte mich, was mir [From.GetHerHis] Schweigen wohl wert wäre. Als ich [From.GetHerHim] fragte, von was in aller Welt [From.GetSheHe] reden würde, erzählte mir [From.GetTitledFirstName], dass [From.GetSheHe] er von meiner blutschänderischen Beziehung zu meiner Schwester wüsste. Wenn ich [From.GetHerHim] nicht bezahlen würde, könnte [From.GetHerHim] nichts aufhalten, jedermann von unserer verbotenen Liebe zu erzählen.;;[From.GetTitledFirstName] me preguntó cuánto valía para mí su silencio, y cuando le pregunté de qué diablos hablaba, [From.GetTitledFirstName] me dijo que sabía que tenía una relación incestuosa con mi hermana. Si no le pagaba, hablaría a todos de nuestro amor prohibido.;;;;;;;;;x
EVTOPTA69012;Your silence is very valuable to me;Votre silence a beaucoup de valeur pour moi.;Euer Schweigen ist mir viel wert;;Tu silencio es muy valioso para mí;;;;;;;;;x
EVTOPTB69012;You cannot prove anything!;Vous ne pouvez rien prouver !;Ihr könnt nichts beweisen!;;¡No puedes demostrar nada!;;;;;;;;;x
EVTDESC69013;I did not know [From.GetTitledFirstName] could be so charming, and I had never really noticed how fair [From.GetSheHe] is...;Je ne savais pas que [From.GetTitledFirstName] pouvait être si charmant(e) et je n'avais jamais vraiment remarqué sa beauté...;Ich wusste gar nicht, dass [From.GetTitledFirstName] so charmant sein könnte. Ich hatte auch noch nie bemerkt, wie gut aussehend [From.GetSheHe] ist ...;;No sabía que [From.GetTitledFirstName] podía tener tanto encanto, y nunca me había dado cuenta de su gran atractivo...;;;;;;;;;x
EVTOPTA69013;Well, I wouldn't kick [From.GetHerHim] out of my bed...;Eh bien, je l'accueillerais volontiers dans mon lit...;Nun, ich würde [From.GetHerHim] nicht von der Bettkante stoßen ...;;Bueno, no le echaría de mi cama...;;;;;;;;;x
EVTOPTB69013;Charming and fair won't buy your way to my bed!;Votre charme et votre beauté ne vous entraîneront pas dans mon lit !;Charme und ein schönes Äußeres werden Euch nicht in mein Bett bringen!;;¡El encanto y el atractivo no lograrán que llegues a mi lecho!;;;;;;;;;x
EVTDESC69015;The rumors about my supposed incestuous love affair with my sister has reached the ears of my liege.;Les rumeurs sur ma soi-disant relation incestueuse avec ma sœur sont arrivées aux oreilles de mon confesseur.;Die Gerüchte über meine vermeintliche blutschänderische Affäre mit meiner Schwester sind meinem Beichtvater zu Ohren gekommen.;;Los rumores de mi incesto con mi hermana han llegado a oídos de mi confesor.;;;;;;;;;x
EVTOPTA69015;I am sorry, my liege, for tainting the reputation of our people...;J'ai péché, non par la chair mais par l'esprit...;Ich habe gesündigt, wenn schon nicht fleischlich, dann im Geiste ...;;He pecado, si no de obra, de pensamiento...;;;;;;;;;x
EVTOPTB69015;My lord, please do not beleive such falsehoods...;Je n'ai rien à confesser, rien d'interdit en tout cas...;Es gibt nichts zu beichten oder zu vergeben ...;;No tengo nada que confesar ni nada por lo que ser perdonado...;;;;;;;;;x
EVTDESC69016;My sister and I enjoyed a few hours together in the high, abandoned tower of [Root.Location.GetName] when a child's face appeared in one of the windows...;Ma sœur et moi passions quelques heures ensemble dans la haute tour abandonnée de [Root.Location.GetName] lorsque le visage d'un enfant est apparu à l'une des fenêtres...;Meine Schwester und ich genossen ein paar ruhige Stunden im hohen, verlassenen Turm zu [Root.Location.GetName], als plötzlich in einem der Fenster das Gesicht eines Kindes erschien ...;;Mi hermana y yo disfrutábamos unas horas en la torre abandonada de [Root.Location.GetName] cuando apareció el rostro de un niño en una ventana...;;;;;;;;;x
EVTOPTA69016;The things I do for love...;Jusqu'où peut-on aller par amour ?...;Was ich nicht alles für die Liebe tue ...;;Las cosas que hago por amor...;;;;;;;;;x
EVTOPTB69016;Ignore the child;J'ignore l'enfant.;Kind ignorieren;;Ignora al niño;;;;;;;;;x
EVTTOOLTIP69017;The child has a too big mouth for its own safety...;L'enfant a la langue trop bien pendue pour sa propre sécurité...;Das Kind hat ein größeres Mundwerk, als gesund für es wäre ...;;La indiscreción del niño será su perdición...;;;;;;;;;x
EVTDESC69017;I should have killed the child when I had the chance! The child told everyone about me and my sister in the tower, describing in detail what it had seen...;J'aurais dû tuer l'enfant quand il en était encore temps ! Il a raconté à tout le monde qu'il m'avait surpris avec ma sœur dans la tour, en décrivant en détail ce qu'il avait vu...;Ich hätte das Kind töten sollen, als ich die Gelegenheit hatte! Es hat allen von mir und meiner Schwester im Turm erzählt, und zwar jede Einzelheit ...;;¡Debería haber matado al niño cuando tuve la oportunidad! El niño habló a todos de mi hermana y de mí, describiendo detalladamente lo que había visto...;;;;;;;;;x
EVTOPTA69017;I fear the High King will not look kindly upon us...;Le Saint-Père risque de nous regarder d'un mauvais œil...;Ich fürchte, der Heilige Vater wird uns nicht dazu gratulieren ...;;Me temo que el Santo Padre no nos mirará con indulgencia...;;;;;;;;;x
EVTDESC69020;Everyone knows how deep and passionate the love between one of the courtiers and his wife are, but sadly it has not resulted in any children. I have heard the wife asking the other wives about cures and ways to get with child but to no avail.;Chacun sait que l'un des courtisans et sa femme s'aiment profondément et passionnément, mais hélas ils n'ont pas d'enfants. Il paraît que la femme demande aux autres épouses des remèdes et des trucs pour concevoir, mais en vain.;Jedermann weiß, wie tief und leidenschaftlich die Liebe zwischen einem der Höflinge und seiner Frau sind, doch leider sind daraus noch keine Kinder entsprungen. Ich habe die Frau andere Frauen über Heilmittel und Empfängnis fragen hören, aber nichts scheint geholfen zu haben.;;Todos conocen el profundo y apasionado amor de un cortesano y su mujer, pero por desgracia no han concebido hijos. He sabido que la esposa preguntaba a las otras mujeres por curas y modos de quedarse encinta, pero todo fue inútil. ;;;;;;;;;x
EVTOPTA69020;Might he be impotent? I have to know!;Serait-il impuissant ? Je dois en avoir le cœur net !;Ob er wohl impotent ist? Ich muss es wissen!;;Quizá él sea impotente. ¡Tengo que enterarme!;;;;;;;;;x
EVTTOOLTIP69021;[Root.GetTitledFirstName] ask [This.GetTitledFirstName] about his impotence;[Root.GetTitledFirstName] demande à [This.GetTitledFirstName] s'il est impuissant.;[Root.GetTitledFirstName] befragt [This.GetTitledFirstName] über seine Impotenz;;[Root.GetTitledFirstName] le pregunta a [This.GetTitledFirstName] si es impotente;;;;;;;;;x
EVTOPTB69020;It surprises me no one else knows this, I should tell them...;Je m'étonne que personne ne soit au courant. Je dois rendre cette affaire publique...;Ich finde es überraschend, dass niemand hiervon weiß. Ich sollte es ihnen sagen ...;;Me sorprende que nadie más lo sepa, debería contarlo...;;;;;;;;;x
EVTOPTC69020;This is perhaps a secret he would pay to keep secret...;Il s'agit peut-être d'un secret qu'il est prêt à monnayer...;Vielleicht ist dies ein Geheimnis und er würde mich für mein Schweigen bezahlen ...;;Quizá sea un secreto que pagaría por mantener...;;;;;;;;;x
EVTTOOLTIP69022;If the secret will remain secret, then [This.GetTitledFirstName] have to pay...;S'il veut garder son secret, [This.GetTitledFirstName] va devoir payer...;Wenn das Geheimnis geheim bleiben soll, dann muss [This.GetTitledFirstName] bezahlen ...;;Si quiere guardar su secreto, [This.GetTitledFirstName] deberá pagar...;;;;;;;;;x
EVTDESC69021;The biggest grief in our lives is the absence of children so when [From.GetTitledFirstName] stuck [From.GetHerHis] long nose in our private life the longing and sorrow returned with full force.;L'absence d'enfants est le drame de notre vie. Alors quand [From.GetTitledFirstName] a fourré son long nez dans notre vie privée, notre ardent désir et notre chagrin nous ont explosé à la figure.;Unsere Kinderlosigkeit ist der größte Kummer unseres Lebens. Als [From.GetTitledFirstName] [From.GetHerHis] lange Nase in unser Eheleben steckte, kehrten die Sehnsüchte und die Trauer mit voller Kraft zurück.;;La mayor pena de nuestras vidas es no tener hijos, así que cuando [From.GetTitledFirstName] metió las narices en nuestra vida privada el anhelo y la amargura volvieron con toda su fuerza.;;;;;;;;;x
EVTOPTA69021;We have a little trouble conceiving, that is all!;Nous avons un peu de mal à concevoir, c'est tout !;Wir haben ein bisschen Probleme mit der Empfängnis, das ist alles!;;¡Nos cuesta concebir, eso es todo!;;;;;;;;;x
EVTOPTB69021;It's true, I'm impotent...;C'est vrai, je suis impuissant...;Es stimmt, ich bin impotent ...;;Es verdad, soy impotente...;;;;;;;;;x
EVTDESC69022;I would never have thought anyone would try to profit off our grief, our sorrow that we have failed to conceive a child. The demand for gold or the secret about our trouble conceiving would be out in the open made me furious.;C'est vrai, nous ne pouvons pas avoir d'enfants, mais je n'aurais jamais cru que quelqu'un essaierait de profiter ainsi de notre chagrin. Comment cette personne peut-elle nous réclamer de l'or en échange de son silence ? Je suis hors de moi !;Ich hätte niemals gedacht, dass jemand versuchen würde, aus unserem Kummer, kein Kind zeugen zu können, Kapital zu schlagen. Die Drohung, beim Ausbleiben einer Goldzahlung unsere Empfängnisschwierigkeiten zu veröffentlichen, machte mich rasend vor Wut.;;Nunca habría creído que alguien tratase de aprovecharse de la tristeza que sentimos por no tener hijos. La exigencia de oro a cambio de guardar en secreto nuestros problemas para concebir me enfureció.;;;;;;;;;x
EVTOPTA69022;[Root.Spouse.GetFirstName] would be devastated, I have to pay...;[Root.Spouse.GetFirstName] serait dévasté(e), je dois payer...;[Root.Spouse.GetFirstName] wäre am Boden zerstört. Ich muss bezahlen ...;;Eso destrozaría a [Root.Spouse.GetFirstName], debo pagar...;;;;;;;;;x
EVTOPTB69022;I will never give in to your demands!;Je ne céderai jamais à un tel chantage !;Ich werde niemals auf Eure Forderungen eingehen!;;¡Nunca cederé a tus exigencias!;;;;;;;;;x
EVTDESC69024;It seems as if the rumor about me being impotent has spread throughout the court. People are laughing behind my back, or so my so-called 'friends' tell me.;Apparemment, la rumeur de mon impuissance s'est propagée à toute la Cour. Les gens rient derrière mon dos. Du moins, c'est ce que me disent mes soi-disant 'amis'.;Anscheinend hat sich das Gerücht über meine Impotenz am ganzen Hof verbreitet. Man lacht hinter meinem Rücken, sagen mir zumindest meine so genannten 'Freunde'.;;El rumor de mi impotencia se ha extendido por toda la corte. La gente se ríe a mis espaldas, o eso me dicen mis supuestos 'amigos'.;;;;;;;;;x
EVTOPTA69024;Let them laugh!;Qu'ils continuent à rire !;Sollen sie doch lachen!;;¡Que se rían!;;;;;;;;;x
EVTDESC69030;The lingering looks, the small, almost inappropriate touches, the secret smiles given to someone other than his wife... A courtier is having an affair!;Les regards appuyés, les frôlements presque déplacés, les sourires secrets adressés à une autre que sa femme... Un courtisan a une liaison !;Die ständigen Blicke, die kleinen, fast unangemessenen Berührungen, das heimliche Anlächeln einer anderen Frau ... Ein Höfling hat eine Affäre!;;Las miradas persistentes, los inapropiados contactos, las sonrisas secretas dedicadas a otras mujeres... ¡Un cortesano tiene una aventura!;;;;;;;;;x
EVTOPTA69030;It is my duty to confront him!;Il est de mon devoir de l'interroger !;Meine Pflicht verlangt, ihn zu konfrontieren;;¡Mi deber es interrogarle!;;;;;;;;;x
EVTTOOLTIP69031;[This.GetTitledFirstName] is confronted about his adultery by [Root.GetTitledFirstName];[Root.GetTitledFirstName] interroge [This.GetTitledFirstName] sur son adultère.;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] wegen seines Ehebruchs konfrontiert;;[This.GetTitledFirstName] es interrogado sobre su adulterio por [Root.GetTitledFirstName];;;;;;;;;x
EVTOPTB69030;I should tell someone...;Je devrais en parler à quelqu'un...;Ich sollte jemand davon erzählen ...;;Debería contárselo a alguien...;;;;;;;;;x
EVTOPTC69030;I need a bit of persuasion if he wants me to stay silent...;Il va devoir être persuasif s'il veut que je me taise...;Zum Schweigen muss ich noch etwas überzeugt werden ...;;Necesito algo de persuasión si quiere que guarde silencio...;;;;;;;;;x
EVTTOOLTIP69036;[This.GetTitledFirstName] is forced to pay [Root.GetTitledFirstName] for [Root.GetHerHis] silence;[This.GetTitledFirstName] est obligé d'acheter le silence de [Root.GetTitledFirstName].;[This.GetTitledFirstName] wird gezwungen, [Root.GetTitledFirstName] für [Root.GetHerHis] Schweigen zu bezahlen;;[This.GetTitledFirstName] es obligado a pagar a [Root.GetTitledFirstName] por su silencio;;;;;;;;;x
EVTDESC69031;We hadn't been as discreet as we had hoped, [Root.GetTitledFirstName] confronted me about the adultery I had committed with the beautiful lady at the court.;Nous n'avons pas été suffisamment discrets. [Root.GetTitledFirstName] m'a interrogé sur ma liaison adultère avec la belle dame de la Cour.;Wir waren nicht so diskret, wie wir gehofft hatten: [Root.GetTitledFirstName] konfrontierte mich wegen des Ehebruchs, den ich mit der schönen Dame am Hof begangen hatte.;;No hemos sido todo lo discretos que debíamos, [Root.GetTitledFirstName] me interrogó acerca del adulterio que cometí con una hermosa dama de la corte.;;;;;;;;;x
EVTOPTA69031;I am faithful to my wife!;Je n'ai pas commis d'adultère avec cette femme.;Ich habe mit dieser Frau keinen Ehebruch begangen;;No cometí adulterio con esa mujer;;;;;;;;;x
EVTOPTB69031;I won't say a word;Je ne dirai pas un mot.;Ich werde kein Wort sagen;;No diré nada;;;;;;;;;x
EVTTOOLTIP69032;[This.GetTitledFirstName] might decide to tell your wife [Root.Spouse.GetTitledFirstName];[This.GetTitledFirstName] risque de tout dire à votre femme, [Root.Spouse.GetTitledFirstName].;[This.GetTitledFirstName] könnte beschließen, zu Eurer Frau [Root.Spouse.GetTitledFirstName] zu gehen;;[This.GetTitledFirstName] podría decírselo a tu esposa [Root.Spouse.GetTitledFirstName];;;;;;;;;x
EVTDESC69032;When [From.GetTitledFirstName] denied that [From.GetSheHe] had committed adultery I was stunned, I had been so sure of what I had seen that it had never occurred to me that I might be wrong. I apologised and [From.GetTitledFirstName] accepted the apology with a frown.;Je ne m'attendais pas à ce que [From.GetTitledFirstName] nie avoir commis un adultère. J'étais tellement sûr(e) de ce que j'avais vu qu'il ne m'est jamais venu à l'idée que je pouvais me tromper. J'ai présenté mes excuses à [From.GetTitledFirstName] qui les a acceptées en me regardant de travers.;Als [From.GetTitledFirstName] leugnete, Ehebruch begangen zu haben, war ich völlig vor den Kopf gestoßen. Meine Beobachtungen schienen mir so klar, dass ich gar nicht auf den Gedanken kam, Unrecht haben zu können. Ich bot meine Entschuldigung an und [From.GetTitledFirstName] nahm sie mit finsterem Blick an.;;Cuando [From.GetTitledFirstName] negó haber cometido adulterio me quedé pasmado, estaba tan seguro de lo que había visto que nunca habría pensado que me equivocaba. Me disculpé y [From.GetTitledFirstName] aceptó la disculpa de mala gana.;;;;;;;;;x
EVTOPTA69032;I know what I saw!;Je sais ce que j'ai vu !;Ich weiß, was ich gesehen habe!;;¡Sé lo que vi!;;;;;;;;;x
EVTTOOLTIP69033; I should tell his wife [From.Spouse.GetTitledFirstName] about his affair;Je devrais tout dire à sa femme, [From.Spouse.GetTitledFirstName].;Ich sollte seiner Frau [From.Spouse.GetTitledFirstName] von seiner Affäre berichten;; Debería contarle su aventura a su esposa [From.Spouse.GetTitledFirstName];;;;;;;;;x
EVTOPTB69032;Maybe I was wrong...;J'ai peut-être tort...;Vielleicht hatte ich Unrecht ...;;Quizá me equivoqué...;;;;;;;;;x
EVTDESC69033;When [From.GetTitledFirstName] told me about my husband [From.GetFirstName]'s little affair with some random harlot I was furious! My rage had subsided a bit when I finally found my cheating husband, but as I saw him admiring the bosom of yet another clueless little strumpet the rage grew once again.;Quand [From.GetTitledFirstName] m'a parlé des petites escapades amoureuses de mon mari, [From.GetFirstName], avec des inconnues, j'étais furieuse ! Ma colère a fini par s'apaiser un peu, jusqu'à ce que je trouve mon mari les yeux rivés sur la poitrine d'une idiote de plus. Ma rage a alors redoublé.;Als mir [From.GetTitledFirstName] vom Techtelmechtel meines Mannes [From.GetFirstName] mit einer unbekannten Frau berichtete, wurde ich rasend vor Wut! Ich hatte mich schon wieder etwas beruhigt, als ich schließlich meinen ehebrecherischen Schuft von Ehemann fand. Doch was tat er? Mit den Augen verschlang er die Brüste irgendeiner kleinen Metze. Mein Blut kochte wieder hoch ...;;¡Cuando [From.GetTitledFirstName] me habló de la aventura de mi esposo [From.GetFirstName] con una desconocida me enfurecí! Mi ira disminuyó un poco cuando encontré por fin a mi esposo infiel, pero cuando le vi mirando los pechos de otra puta despistada mi cólera volvió a aumentar.;;;;;;;;;x
EVTOPTA69033;You BASTARD!;BÂTARD !;BASTARD!;;¡BASTARDO!;;;;;;;;;x
EVTTOOLTIP69034;[Root.GetTitledFirstName] is enraged at [Root.Spouse.GetTitledFirstName];[Root.GetTitledFirstName] est dans une colère noire contre [Root.Spouse.GetTitledFirstName].;[Root.GetTitledFirstName] ist auf [Root.Spouse.GetTitledFirstName] wahnsinnig wütend;;[Root.GetTitledFirstName] está enfadadísima con [Root.Spouse.GetTitledFirstName];;;;;;;;;x
EVTOPTB69033;I should forgive and forget. I still love him;Je devrais pardonner et oublier. Je l'aime toujours.;Ich sollte ihm seinen Fehler verzeihen. Ich lieber ihn noch immer.;;Debería perdonar y olvidar. Aún lo amo;;;;;;;;;x
EVTTOOLTIP69035;[Root.GetTitledFirstName] forgives [Root.Spouse.GetTitledFirstName] little indiscretion;[Root.GetTitledFirstName] pardonne le petit écart de conduite de [Root.Spouse.GetTitledFirstName].;[Root.GetTitledFirstName] verzeiht [Root.Spouse.GetTitledFirstName]s kleinen Fehltritt;;[Root.GetTitledFirstName] perdona a [Root.Spouse.GetTitledFirstName] su pequeña indiscreción;;;;;;;;;x
EVTDESC69034;The fury in [From.GetTitledFirstName]'s eyes scared me nearly to death and when [From.GetSheHe] started screaming and cursing at me I wished I was dead.;La colère lue dans les yeux de [From.GetTitledFirstName] m'a fait terriblement peur et quand [From.GetSheHe] a commencé à crier et à me maudire, j'aurais voulu rentrer sous terre.;Die Raserei in [From.GetTitledFirstName]s Augen erschreckte mich fast zu Tode, und als [From.GetSheHe] zu schreien und fluchen begann, wünschte ich, ich wäre tot.;;La ira en los ojos de [From.GetTitledFirstName] me asustó mucho y cuando [From.GetSheHe] empezó a gritar y maldecirme deseé estar muerto.;;;;;;;;;x
EVTOPTA69034;I will never cheat on you again, I promise!;Plus jamais je ne vous tromperai, promis !;Ich werde Euch nie wieder betrügen, versprochen!;;¡Prometo no volver a engañarte!;;;;;;;;;x
EVTDESC69035;[From.GetTitledFirstName] forgave me for my little indiscretion but I could see how much it had hurt her. I promised and swore that I would never commit adultery again, ever again.;[From.GetTitledFirstName] a pardonné mon petit écart de conduite, mais j'ai vu à quel point cela l'avait blessée. J'ai promis de ne plus jamais la tromper.;[From.GetTitledFirstName] vergab mir meinen kleinen Fehltritt, doch ich erkannte, wie sehr ich sie verletzt hatte. Ich schwor, nie wieder Ehebruch zu begehen.;;[From.GetTitledFirstName] me perdonó mi indiscreción pero vi el daño que le había hecho. Le prometí y le juré que nunca volvería a engañarla.;;;;;;;;;x
EVTOPTA69035;Trust me on this!;Faites-moi confiance !;Ihr könnt mir vertrauen!;;¡Confía en mí!;;;;;;;;;x
EVTDESC69036;[From.GetTitledFirstName] was direct: if I did not pay [From.GetHerHim] to keep quiet, [From.GetTitledFirstName] would make sure everyone in the court would know about my little affair with one of the court ladies.;[From.GetTitledFirstName] a été direct(e) : à défaut d'acheter son silence, [From.GetTitledFirstName] révélera à la Cour ma petite aventure avec l'une des courtisanes.;[From.GetTitledFirstName] war direkt: Würde ich nicht für [From.GetHerHim] Schweigen bezahlen, erführe bald jedermann von [From.GetTitledFirstName] über meine kleine Affäre mit einer der Hofdamen.;;[From.GetTitledFirstName] fue directo: si no le pago para que guarde silencio, [From.GetTitledFirstName] le contará a todos mi aventura con una dama de la corte.;;;;;;;;;x
EVTOPTA69036;Take this, I don't want to see you ever again!;Tenez et je ne veux plus jamais vous revoir !;Nehmt dies. Kommt mir nie mehr unter die Augen!;;¡Toma, no quiero volver a verte!;;;;;;;;;x
EVTOPTB69036;As if someone would believe you!;Personne ne vous croira !;Als ob Euch jemand glauben würde!;;¡Como si alguien fuera a creerte!;;;;;;;;;x
EVTDESC69038;I came home one evening and found that my wife [Root.Spouse.GetTitledFirstName] had told our children about my affair and now they all refuse to speak to me!;Un soir, en rentrant, j'ai découvert que mon épouse, [Root.Spouse.GetTitledFirstName], avait révélé mon aventure à mes enfants et maintenant, ils refusent de me parler !;Als ich eines Abends nach Hause kam, fand ich heraus, dass meine Frau [Root.Spouse.GetTitledFirstName] unseren Kindern von meiner Affäre erzählt hatte. Nun weigerten sich alle, mit mir zu sprechen!;;¡Cuando volví a casa por la tarde me encontré con que mi esposa [Root.Spouse.GetTitledFirstName] le había contado mi aventura a nuestros hijos y ahora no quieren hablarme!;;;;;;;;;x
EVTOPTA69038;Why did you have to involve them?!;Pourquoi leur avez-vous dit ?!;Warum musstet Ihr sie mit hineinziehen?;;¿Por qué los has metido en esto?;;;;;;;;;x
EVTDESC69039;The voices could be heard through the walls and I recognized them as belonging to my wife and my mistress. My wife [Root.Spouse.GetTitledFirstName] tried to make my mistress break up with me, but she refused so I decided to step in...;Des voix se faisaient entendre de l'autre côté des murs, celles de mon épouse et de ma maîtresse. Mon épouse, [Root.Spouse.GetTitledFirstName], a tenté de contraindre ma maîtresse à rompre avec moi, mais elle a refusé et j'ai décidé d'intervenir...;Man konnte die Stimmen durch die Mauern hören. Ich erkannte sie als die meiner Frau und meiner Geliebten. Meine Frau, [Root.Spouse.GetTitledFirstName], versuchte, meine Geliebte dazu zu bringen, sich von mir zu trennen. Als sie sich weigerte, schritt ich ein ...;;Oí a mi esposa y mi amante discutiendo a gritos. Mi esposa [Root.Spouse.GetTitledFirstName] intentaba que mi amante rompiera conmigo, pero esta se negaba, así que decidí entrar...;;;;;;;;;x
EVTOPTA69039;I reassure my mistress of my deep love for her;Je rassure ma maîtresse et lui fais part de tout mon amour pour elle.;Ich versichere meine Geliebte meiner innigen Liebe;;Tranquilizo a mi amante diciéndole que la amo;;;;;;;;;x
EVTOPTB69039;[Root.Spouse.GetTitledFirstName], you are the one I love!;[Root.Spouse.GetTitledFirstName], c'est vous que j'aime !;[Root.Spouse.GetTitledFirstName], meine Liebe gilt nur Euch!;;¡[Root.Spouse.GetTitledFirstName], eres la única a la que amo!;;;;;;;;;x
EVTDESC69040;I knocked on the door and heard him swear when something was knocked to the floor and broke, by the sound of it. When he finally called 'Come in!' I opened the door and saw the messy room, filled with weird looking glasses, stuffed exotic animals and the man I was visiting in the middle of the mess with singed eyebrows.;J'ai frappé à la porte et je l'ai entendu jurer, puis quelque chose est tombé par terre avec fracas. Lorsqu'il a finalement dit 'Entrez ! ', j'ai ouvert la porte et vu le désordre qui régnait dans la pièce… Des verres étranges, des animaux exotiques empaillés et l'homme que je venais voir au milieu de tout ce désordre, les sourcilles en bataille.;Ich klopfte an die Tür und hörte ihn fluchen, als den Geräuschen nach etwas auf den Boden fiel und zerbarst. Als er endlich 'Herein!' rief, öffnete ich die Tür zu einem chaotischen Raum voller seltsam anmutender Gläser und ausgestopfter Tiere. Der Mann stand mit versengten Augenbrauen inmitten dieses Chaos.;;Llamé a la puerta y le oí blasfemar cuando algo cayó al suelo rompiéndose. Cuando por fin dijo '¡entra!' Abrí la puerta y vi el cuarto desordenado, lleno de espejos extraños y animales exóticos, y al hombre al que visitaba en medio del desorden con las cejas chamuscadas.;;;;;;;;;x
EVTOPTA69040;Have you tampered with sorcery?;Vous vous livrez à des sciences occultes ?;Habt Ihr etwa mit dem Okkulten herumgepfuscht?;;¿Has jugado con lo oculto?;;;;;;;;;x
EVTTOOLTIP69041;[This.GetTitledFirstName] is confronted about sorcery;[This.GetTitledFirstName] se livre à des sciences occultes.;[This.GetTitledFirstName] wird wegen Okkultismus konfrontiert;;[This.GetTitledFirstName] es interrogado sobre el ocultismo;;;;;;;;;x
EVTOPTB69040;I have got to get out of here and tell everyone!;Il faut que je parte d'ici et que je le dise à tout le monde !;Ich muss raus hier und allen davon erzählen!;;¡Debo salir de aquí y contárselo a todos!;;;;;;;;;x
EVTOPTC69040;He might pay for my silence...;Peut-être voudra-t-il acheter mon silence...;Vielleicht würde er für mein Schweigen zahlen ...;;Quizá pague por mi silencio...;;;;;;;;;x
EVTTOOLTIP69042;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];[This.GetTitledFirstName] fait l'objet d'un chantage de la part de [Root.GetTitledFirstName].;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] erpresst;;[This.GetTitledFirstName] es chantajeado por [Root.GetTitledFirstName];;;;;;;;;x
EVTDESC69041;My latest experiment went a bit badly and I was trying to clean up the mess when someone knocked on the door. [From.GetTitledFirstName] entered and saw the mess I was standing in, with my singed eyebrows and the remains of my experiment spread all over the room. It didn't take long before [From.GetSheHe] accused me of dealing with dark magic!;Ma dernière expérience ne s'est pas très bien passée et j'essayais de nettoyer tout ce désordre lorsque quelqu'un a frappé à la porte. [From.GetTitledFirstName] est entré(e) et a constaté le désordre qui m'entourait, mes sourcils en bataille ainsi que les restes de mon expérience éparpillés partout. Très vite, [From.GetSheHe] m'a accusé(e) de m'adonner à des sciences occultes !;Mein letztes Experiment ging etwas daneben. Als ich das Durcheinander aufräumen wollte, klopfte jemand an die Tür. [From.GetTitledFirstName] trat ein und sah mich mit versengten Augenbrauen inmitten des Chaos stehen - die Reste meines Experiments waren über den gesamten Raum verteilt. Es dauerte nicht lange, ehe [From.GetSheHe] mich okkulter Machenschaften beschuldigte!;;Mi último experimento salió mal e intentaba limpiar el desorden cuando alguien llamó a la puerta. [From.GetTitledFirstName] entró y vio el desorden en el que estaba, con mis cejas chamuscadas y los restos del experimento esparcidos por todo el cuarto. ¡En seguida me acusó de tratar con lo oculto!;;;;;;;;;x
EVTOPTA69041;Are you mad? I would never!;Vous avez perdu la tête ? Jamais de la vie !;Seid Ihr des Wahnsinns? Das würde ich niemals!;;¿Estás loco? ¡Nunca lo haría!;;;;;;;;;x
EVTOPTB69041;I cackled madly at [From.GetTitledFirstName]'s accusation;J'ai fermement réfuté l'accusation de [From.GetTitledFirstName].;Ich gackerte wie verrückt über [From.GetTitledFirstName]s Anschuldigung;;Me reí a carcajadas de la acusación de [From.GetTitledFirstName];;;;;;;;;x
EVTDESC69042;I could hardly believe my ears when [From.GetTitledFirstName] tried to pressure me into giving [From.GetHerHim] money to keep quiet about my dealings with supposed "sorcery"!;J'ai bien failli tomber à la renverse quand [From.GetTitledFirstName] a essayé de m'extorquer de l'argent pour ne pas révéler mon goût pour les sciences occultes !;Ich konnte kaum meinen Ohren trauen, als [From.GetTitledFirstName] versuchte, von mir für Verschwiegenheit über meine okkulten Machenschaften Geldzahlungen an [From.GetHerHim] zu erpressen!;;¡Apenas podía creer lo que oía cuando [From.GetTitledFirstName] intentó chantajearme para guardar silencio respecto a mis manejos con lo oculto!;;;;;;;;;x
